Duration,Source Port,Destination Port,Packets,Bytes,Urgent,Acknowledgment,Push,Reset,Synchronise,Finish,label
0.0,57294,1604.0,5,350,0,0,0,0,0,0,none
0.0,54235,8123.0,5,200,0,0,0,0,1,0,synFlood
0.0,59614,41982.0,2,80,0,0,0,0,1,0,none
0.002,80,48538.0,3,206,0,1,0,0,1,1,dos
31.4,80,1666.0,15,660,0,1,0,0,1,0,redWorm
0.0,80,37228.0,5,220,0,1,0,0,1,0,redWorm
0.0,80,54343.0,5,220,0,1,0,0,1,0,redWorm
0.0,80,32451.0,5,220,0,1,0,0,1,0,redWorm
0.0,54235,5900.0,5,200,0,0,0,0,1,0,synFlood
0.0,38148,1217.0,1,58,0,0,0,0,1,0,portScan
0.0,33508,1805.0,1,58,0,0,0,0,1,0,portScan
0.0,80,41955.0,5,220,0,1,0,0,1,0,redWorm
21.23,80,27596.0,10,440,0,1,0,0,1,0,redWorm
0.0,54235,6771.0,5,200,0,0,0,0,1,0,synFlood
0.0,80,53515.0,5,300,0,1,0,0,1,0,none
0.0,53896,6771.0,5,200,0,0,0,0,1,0,synFlood
0.0,54235,7307.0,5,200,0,0,0,0,1,0,synFlood
0.0,0,3.1,1,70,0,0,0,0,0,0,portScan
0.0,80,31987.0,5,220,0,1,0,0,1,0,redWorm
0.0,53896,5223.0,5,200,0,0,0,0,1,0,synFlood
0.0,443,65301.0,4,521,0,0,0,0,0,0,none
0.0,0,769.0,5,425,0,0,0,0,0,0,none
0.0,14187,123.0,5,380,0,0,0,0,0,0,none
0.003,80,35740.0,3,206,0,1,0,0,1,1,dos
0.0,443,47593.0,5,1720,0,1,1,0,0,0,none
0.0,54235,2086.0,5,200,0,0,0,0,1,0,synFlood
0.0,80,43705.0,5,220,0,1,0,0,1,0,redWorm
0.0,80,40963.0,5,220,0,1,0,0,1,0,redWorm
31.0,80,1062.0,15,660,0,1,0,0,1,0,redWorm
0.0,36971,8200.0,1,58,0,0,0,0,1,0,portScan
0.0,443,57049.0,5,260,0,1,0,0,0,0,none
0.0,53896,8834.0,5,200,0,0,0,0,1,0,synFlood
0.003,39579,80.0,5,479,0,1,1,0,1,1,dos
0.006,50668,80.0,6,545,0,1,1,0,1,1,dos
0.003,80,50044.0,3,206,0,1,0,0,1,1,dos
0.0,443,49965.0,5,7500,0,1,0,0,0,0,none
0.006,43597,80.0,5,479,0,1,1,0,1,1,dos
0.0,80,8672.0,5,220,0,1,0,0,1,0,redWorm
0.0,53896,6000.0,5,200,0,0,0,0,1,0,synFlood
0.004,80,50749.0,4,272,0,1,0,0,1,1,dos
0.0,36919,1104.0,1,58,0,0,0,0,1,0,portScan
31.97,80,45677.0,10,440,0,1,0,0,1,0,redWorm
0.001,80,59200.0,3,206,0,1,0,0,1,1,dos
4.0,80,21661.0,10,440,0,1,0,0,1,0,redWorm
0.0,33535,8007.0,1,58,0,0,0,0,1,0,portScan
0.003,80,37861.0,4,272,0,1,0,0,1,1,dos
0.0,54235,5480.0,5,200,0,0,0,0,1,0,synFlood
0.0,7496,33508.0,1,54,0,1,0,1,0,0,portScan
0.003,40594,80.0,5,479,0,1,1,0,1,1,dos
0.0,56810,2200.0,5,200,0,0,0,0,1,0,none
0.0,80,2684.0,5,220,0,1,0,0,1,0,redWorm
28.8,80,46310.0,15,660,0,1,0,0,1,0,redWorm
0.0,1521,38177.0,1,54,0,1,0,1,0,0,portScan
0.0,53896,6653.0,5,200,0,0,0,0,1,0,synFlood
0.0,52086,24800.0,1,58,0,0,0,0,1,0,portScan
0.0,47008,1092.0,5,200,0,0,0,0,1,0,none
0.0,37090,6580.0,1,58,0,0,0,0,1,0,portScan
0.0,25,50508.0,5,260,0,1,0,0,0,0,none
0.0,56667,22222.0,5,200,0,0,0,0,1,0,none
0.0,54235,218.0,5,200,0,0,0,0,1,0,synFlood
0.0,37090,18101.0,1,58,0,0,0,0,1,0,portScan
0.0,80,55249.0,5,220,0,1,0,0,1,0,redWorm
32.33,443,57266.0,12,4172,0,1,1,0,1,1,none
12.16,80,37622.0,10,440,0,1,0,0,1,0,redWorm
0.009,55133,80.0,6,545,0,1,1,0,1,1,dos
0.0,445,52188.0,1,108,0,1,1,0,0,0,none
0.0,54235,7474.0,5,200,0,0,0,0,1,0,synFlood
6.0,80,55025.0,10,440,0,1,0,0,1,0,redWorm
0.0,1862,36971.0,1,54,0,1,0,1,0,0,portScan
0.004,80,41423.0,3,206,0,1,0,0,1,1,dos
0.003,53837,80.0,6,545,0,1,1,0,1,1,dos
0.004,80,55869.0,4,272,0,1,0,0,1,1,dos
0.0,443,50991.0,2,92,0,0,0,0,0,0,none
0.0,3333,48655.0,1,54,0,1,0,1,0,0,portScan
0.005,80,55069.0,4,272,0,1,0,0,1,1,dos
0.007,41279,80.0,6,545,0,1,1,0,1,1,dos
0.005,42852,80.0,5,479,0,1,1,0,1,1,dos
0.004,80,48610.0,4,272,0,1,0,0,1,1,dos
0.0,54235,5432.0,5,200,0,0,0,0,1,0,synFlood
0.0,1001,50151.0,1,54,0,1,0,1,0,0,portScan
0.0,53,36935.0,5,795,0,0,0,0,0,0,none
0.0,54437,3269.0,5,200,0,0,0,0,1,0,synFlood
0.0,54235,9999.0,5,200,0,0,0,0,1,0,synFlood
14.0,80,32083.0,10,440,0,1,0,0,1,0,redWorm
0.0,38149,1310.0,1,58,0,0,0,0,1,0,portScan
0.0,80,5435.0,5,220,0,1,0,0,1,0,redWorm
0.002,48628,80.0,5,479,0,1,1,0,1,1,dos
3.23,443,50895.0,25,18020,0,1,1,0,1,0,none
