Duration,Source Port,Destination Port,Packets,Bytes,Urgent,Acknowledgment,Push,Reset,Synchronise,Finish,label
0.0,0,259.0,1,68,0,0,0,0,0,0,none
4.58,21,34191.0,10,440,0,1,0,0,1,0,none
0.0,51716,12400.0,5,200,0,0,0,0,1,0,none
0.0,443,52224.0,1,46,0,0,0,0,0,0,none
0.0,48817,55551.0,5,200,0,0,0,0,1,0,none
0.0,44185,2937.0,5,200,0,0,0,0,1,0,none
15.47,443,55225.0,10,440,0,1,0,0,1,0,none
0.45,22083,63598.0,4,256,0,1,0,0,1,0,none
0.0,53,50074.0,5,735,0,0,0,0,0,0,none
0.09,52475,443.0,25,3045,0,1,1,1,0,0,none
0.128,50905,80.0,16,1604,0,0,0,0,0,0,none
0.0,80,49352.0,10,10265,0,1,1,0,0,0,none
0.0,7547,47434.0,5,220,0,1,0,0,1,0,none
0.0,443,60062.0,20,26445,0,0,0,0,0,0,none
32.26,443,54244.0,8,608,0,1,1,0,0,0,none
0.0,47551,7758.0,5,200,0,0,0,0,1,0,none
55.05,49673,5938.0,15,720,0,1,1,0,0,0,none
0.0,35878,443.0,1,46,0,0,0,0,0,0,none
72.19,5060,14199.0,10,440,0,1,0,0,1,0,none
0.0,445,41802.0,1,70,0,1,1,0,0,0,none
0.0,58316,51301.0,5,200,0,0,0,0,1,0,none
0.0,80,53202.0,5,260,0,1,0,0,0,1,none
0.0,43925,53.0,5,340,0,0,0,0,0,0,none
0.0,445,41239.0,1,108,0,1,1,0,0,0,none
0.0,56667,12389.0,5,200,0,0,0,0,1,0,none
0.71,38480,1433.0,10,460,0,1,0,1,1,0,none
0.0,123,1274.0,1,76,0,0,0,0,0,0,none
0.0,42550,53.0,5,840,0,0,0,0,0,0,none
0.0,53,62159.0,2,1254,0,0,0,0,0,0,none
0.05,443,51341.0,8,974,0,1,1,0,0,0,none
0.04,80,44505.0,10,3900,0,1,1,0,0,1,none
0.0,52597,53.0,1,64,0,0,0,0,0,0,none
0.06,443,60327.0,10,610,0,1,1,0,1,0,none
0.82,51256,55511.0,10,1425,0,1,1,0,0,0,none
0.11,443,5167.0,15,1445,0,1,1,0,0,0,none
0.0,443,39058.0,5,360,0,1,0,0,0,0,none
0.0,47551,9897.0,5,200,0,0,0,0,1,0,none
0.0,45219,2524.0,5,200,0,0,0,0,1,0,none
0.58,47486,22.0,10,2760,0,1,1,0,1,0,none
0.0,59485,80.0,1,66,0,1,0,0,0,1,none
10.74,7547,36712.0,10,440,0,1,0,0,1,0,none
0.0,7547,36411.0,5,220,0,1,0,0,1,0,none
0.192,50051,443.0,25,1412,0,0,0,0,0,0,none
0.0,63627,443.0,5,665,0,1,1,0,0,0,none
0.0,53137,53156.0,2,80,0,0,0,0,1,0,none
0.0,56736,3399.0,5,200,0,0,0,0,1,0,none
0.0,443,6578.0,5,220,0,1,0,0,1,0,none
15.78,443,55774.0,10,440,0,1,0,0,1,0,none
0.002,58844,445.0,2,174,0,1,1,0,0,0,none
0.13,50741,443.0,8,572,0,1,1,0,0,0,none
60.82,443,51369.0,30,3705,0,1,1,0,0,0,none
0.0,58008,3391.0,5,200,0,0,0,0,1,0,none
0.0,41930,53.0,5,410,0,0,0,0,0,0,none
0.0,27905,53.0,5,640,0,0,0,0,0,0,none
0.0,54437,5432.0,5,200,0,0,0,0,1,0,none
0.655,445,50836.0,2,178,0,1,1,0,0,0,none
0.0,5060,61443.0,5,220,0,1,0,0,1,0,none
0.0,443,54770.0,1,77,0,0,0,0,0,0,none
0.003,50856,445.0,2,174,0,1,1,0,0,0,none
0.0,56607,555.0,5,200,0,0,0,0,1,0,none
0.0,35900,53.0,5,395,0,0,0,0,0,0,none
0.0,50130,443.0,5,200,0,1,0,0,0,0,none
0.0,654,6017.0,5,200,0,0,0,0,1,0,none
0.0,443,53929.0,3,163,0,0,0,0,0,0,none
0.0,52286,443.0,1,46,0,0,0,0,0,0,none
120.29,0,0.0,10,2595,0,0,0,0,0,0,none
4.33,443,49458.0,6,1290,0,1,1,0,0,0,none
0.15,443,51887.0,15,1400,0,1,1,0,1,0,none
0.0,9090,54437.0,5,200,0,1,0,1,0,0,none
0.064,443,57186.0,37,47842,0,0,0,0,0,0,none
0.0,443,53752.0,5,240,0,0,0,0,0,0,none
0.0,65419,53.0,2,140,0,0,0,0,0,0,none
18.47,443,50340.0,75,92880,0,1,1,0,0,0,none
0.0,50002,58129.0,5,200,0,1,0,1,0,0,none
0.0,64117,80.0,5,260,0,0,0,0,0,0,none
9.536,80,53972.0,153,223301,0,0,0,0,0,0,none
0.0,445,47759.0,1,108,0,1,1,0,0,0,none
0.0,56736,3399.0,5,200,0,0,0,0,1,0,none
0.0,443,40071.0,2,180,0,1,1,0,0,0,none
0.0,443,64349.0,5,220,0,1,0,0,1,0,none
0.0,43105,9060.0,5,200,0,0,0,0,1,0,none
0.768,61858,80.0,9,378,0,0,0,0,0,0,none
0.0,445,48529.0,1,108,0,1,1,0,0,0,none
0.03,33549,23.0,4,160,0,0,0,0,1,0,none
34.55,443,49197.0,390,411005,0,1,1,0,0,0,none
1.91,443,65232.0,20,12354,0,1,1,0,0,0,none
0.0,50873,2828.0,2,80,0,0,0,0,1,0,none
0.0,52973,445.0,5,200,0,0,0,0,1,0,none
0.0,47551,8950.0,5,200,0,0,0,0,1,0,none
0.0,443,61326.0,5,220,0,1,0,0,1,0,none
94.99,443,1095.0,10,705,0,0,0,0,0,0,none
24.0,7547,48243.0,10,440,0,1,0,0,1,0,none
0.0,53,26191.0,1,218,0,0,0,0,0,0,none
0.0,25835,16922.0,5,240,0,0,0,0,0,0,none
1.984,63557,55660.0,158,12496,0,0,0,0,0,0,none
0.0,53137,53299.0,2,80,0,0,0,0,1,0,none
0.0,443,57114.0,1,52,0,0,0,0,0,0,none
16.68,443,4374.0,20,5625,0,1,1,0,0,0,none
0.0,5060,50010.0,5,220,0,1,0,0,1,0,none
0.0,53,17818.0,5,650,0,0,0,0,0,0,none
0.0,65286,53.0,2,112,0,0,0,0,0,0,none
0.14,443,61703.0,12,7170,0,1,1,0,1,1,none
0.0,53896,68.0,5,140,0,0,0,0,0,0,none
0.0,53137,53246.0,2,80,0,0,0,0,1,0,none
0.0,53,33529.0,5,4420,0,0,0,0,0,0,none
0.0,58213,3389.0,5,625,0,1,1,0,0,0,none
30.2,443,58006.0,10,1360,0,1,1,0,0,0,none
0.0,53,40774.0,2,170,0,0,0,0,0,0,none
0.0,443,55240.0,5,3430,0,1,1,0,0,0,none
0.01,54235,623.0,120,3360,0,0,0,0,0,0,none
0.0,25,23311.0,5,220,0,1,0,0,1,0,none
6.0,443,61713.0,10,440,0,1,0,0,1,0,none
0.01,58225,9060.0,130,5200,0,0,0,0,1,0,none
3.58,53453,443.0,25,1630,0,1,1,0,0,1,none
45.0,57054,443.0,10,400,0,1,0,0,0,0,none
0.0,54235,1027.0,5,140,0,0,0,0,0,0,none
0.0,60569,2001.0,5,220,0,0,0,0,1,0,none
0.0,443,40458.0,5,220,0,1,0,0,1,0,none
29.93,443,49891.0,10,600,0,1,0,0,0,0,none
0.0,53,64340.0,2,1336,0,0,0,0,0,0,none
0.0,53,51412.0,1,207,0,0,0,0,0,0,none
0.0,56667,9999.0,5,200,0,0,0,0,1,0,none
0.0,51752,59855.0,2,80,0,1,0,1,0,0,none
0.0,56538,443.0,5,260,0,0,0,0,1,0,none
0.0,443,6452.0,5,220,0,1,0,0,1,0,none
0.0,443,51405.0,20,3335,0,1,1,0,0,0,none
29.77,54950,443.0,20,8565,0,1,1,0,1,0,none
0.0,59352,53.0,2,176,0,0,0,0,0,0,none
0.0,32766,33923.0,5,200,0,0,0,0,1,0,none
0.0,54235,427.0,5,140,0,0,0,0,0,0,none
0.0,5060,29610.0,5,220,0,1,0,0,1,0,none
2.75,51190,443.0,20,5120,0,1,1,0,0,0,none
0.0,4903,1900.0,1,60,0,0,0,0,0,0,none
0.0,443,62006.0,5,355,0,1,1,0,0,0,none
59.5,443,58380.0,1995,2672075,0,1,1,0,0,0,none
61.73,9001,51553.0,280,30905,0,1,1,0,0,0,none
56.12,443,52562.0,10,740,0,1,1,0,0,0,none
12.0,443,55379.0,10,1000,0,1,1,0,0,0,none
0.0,443,49921.0,5,2095,0,1,1,0,0,0,none
0.0,123,55351.0,5,380,0,0,0,0,0,0,none
0.0,36075,53.0,1,92,0,0,0,0,0,0,none
0.0,443,57825.0,5,260,0,1,0,0,1,0,none
0.0,60280,443.0,1,46,0,0,0,0,0,0,none
1.59,62600,443.0,10,2495,0,1,1,0,0,0,none
0.0,56122,5060.0,5,2070,0,0,0,0,0,0,none
0.005,41239,445.0,2,174,0,1,1,0,0,0,none
0.09,443,57506.0,15,5010,0,1,1,0,0,0,none
0.0,7547,58275.0,5,220,0,1,0,0,1,0,none
0.0,46522,13703.0,5,200,0,0,0,0,1,0,none
0.0,33896,8907.0,5,200,0,1,0,0,0,0,none
0.002,48646,445.0,2,174,0,1,1,0,0,0,none
0.0,6889,50321.0,5,645,0,0,0,0,0,0,none
2.35,443,49282.0,14,4132,0,1,1,0,0,0,none
0.01,80,49236.0,6,2210,0,1,1,0,0,0,none
0.0,47664,23.0,5,200,0,0,0,0,1,0,none
0.0,56736,3330.0,5,200,0,0,0,0,1,0,none
0.0,47348,36396.0,5,200,0,0,0,0,1,0,none
56.82,58875,443.0,15,1315,0,1,1,0,0,0,none
0.0,48381,8080.0,5,200,0,0,0,0,1,0,none
2.26,49164,80.0,10,1174,0,1,1,0,0,0,none
0.3,443,44828.0,20,15815,0,1,1,0,1,0,none
0.064,50727,443.0,20,1020,0,0,0,0,0,0,none
0.0,56810,3700.0,5,200,0,0,0,0,1,0,none
0.0,56810,2200.0,5,200,0,0,0,0,1,0,none
0.0,46692,53.0,5,430,0,0,0,0,0,0,none
0.0,57923,15540.0,5,200,0,0,0,0,1,0,none
12.608,443,63664.0,1053,1347694,0,0,0,0,0,0,none
0.0,36533,53.0,2,120,0,0,0,0,0,0,none
0.0,7547,44603.0,5,220,0,1,0,0,1,0,none
6.4,7547,35197.0,10,440,0,1,0,0,1,0,none
0.192,18080,57586.0,28,39739,0,0,0,0,0,0,none
0.0,33,8017.0,5,200,0,0,0,0,1,0,none
24.29,25,46423.0,345,63460,0,1,1,0,0,1,none
0.0,57426,1059.0,5,200,0,0,0,0,1,0,none
0.0,56804,445.0,2,80,0,0,0,0,1,0,none
0.0,7168,50366.0,2,634,0,0,0,0,0,0,none
0.19,56981,443.0,20,4665,0,1,1,0,1,0,none
0.34,3389,59714.0,10,1765,0,1,1,0,1,0,none
0.0,5060,32802.0,5,220,0,1,0,0,1,0,none
0.0,53,56753.0,2,610,0,0,0,0,0,0,none
0.0,9517,318.0,5,200,0,1,0,1,0,0,none
0.0,443,50991.0,2,92,0,0,0,0,0,0,none
0.0,1935,55636.0,10,725,0,1,1,0,0,0,none
8.0,22,26469.0,10,440,0,1,0,0,1,0,none
65.94,56267,443.0,16,936,0,1,1,0,0,0,none
0.0,3389,36211.0,5,295,0,1,1,0,0,0,none
0.0,5060,55991.0,5,220,0,1,0,0,1,0,none
0.99,49245,80.0,10,3310,0,1,1,0,1,0,none
0.0,53,23839.0,2,358,0,0,0,0,0,0,none
0.0,0,0.0,2,168,0,0,0,0,0,0,none
31.48,443,53031.0,10,440,0,1,0,0,1,0,none
0.0,443,34174.0,5,220,0,1,0,0,1,0,none
0.005,48646,445.0,2,174,0,1,1,0,0,0,none
59.91,53000,443.0,10,905,0,1,1,0,0,0,none
