Duration,Source Port,Destination Port,Packets,Bytes,Urgent,Acknowledgment,Push,Reset,Synchronise,Finish,label
0.0,80,23236.0,5,220,0,1,0,0,1,0,redWorm
0.0,56736,3395.0,5,200,0,0,0,0,1,0,none
0.0,143,50150.0,1,58,0,1,0,0,1,0,portScan
0.0,3389,36211.0,5,295,0,1,1,0,0,0,none
0.007,54520,80.0,5,479,0,1,1,0,1,1,dos
0.0,443,54207.0,5,6890,0,0,0,0,0,0,none
0.005,41027,80.0,6,545,0,1,1,0,1,1,dos
0.0,54235,1293.0,5,200,0,0,0,0,1,0,synFlood
0.0,53896,4244.0,5,200,0,0,0,0,1,0,synFlood
0.0,54437,22136.0,5,200,0,0,0,0,1,0,synFlood
0.004,80,32933.0,4,272,0,1,0,0,1,1,dos
0.0,53896,18091.0,5,200,0,0,0,0,1,0,synFlood
0.004,32924,80.0,5,479,0,1,1,0,1,1,dos
0.1,443,41462.0,10,675,0,1,1,0,0,0,none
13.68,80,53580.0,6,344,0,1,0,0,1,0,none
0.0,54437,2401.0,5,200,0,0,0,0,1,0,synFlood
0.003,80,56323.0,3,206,0,1,0,0,1,1,dos
0.002,80,34920.0,3,206,0,1,0,0,1,1,dos
0.0,51716,12633.0,5,200,0,0,0,0,1,0,none
30.0,80,24011.0,10,440,0,1,0,0,1,0,redWorm
20.0,80,23723.0,10,440,0,1,0,0,1,0,redWorm
0.0,36972,5962.0,1,58,0,0,0,0,1,0,portScan
0.0,31507,8621.0,2,630,0,0,0,0,0,0,none
15.52,80,29166.0,15,660,0,1,0,0,1,0,redWorm
0.0,45760,853.0,1,60,0,0,0,0,0,0,none
0.0,63085,445.0,5,260,0,0,0,0,1,0,none
0.0,51493,38148.0,1,54,0,1,0,1,0,0,portScan
4.04,80,51998.0,10,440,0,1,0,0,1,0,redWorm
0.18,65189,443.0,10,3630,0,1,1,0,0,0,none
0.0,80,38493.0,5,220,0,1,0,0,1,0,redWorm
0.004,52734,80.0,5,479,0,1,1,0,1,1,dos
0.006,50302,80.0,6,545,0,1,1,0,1,1,dos
0.0,80,52156.0,5,220,0,1,0,0,1,0,redWorm
0.003,80,57287.0,3,206,0,1,0,0,1,1,dos
0.0,53896,2223.0,5,200,0,0,0,0,1,0,synFlood
0.0,54437,1270.0,5,200,0,0,0,0,1,0,synFlood
0.0,80,56917.0,5,220,0,1,0,0,1,0,redWorm
0.0,80,63374.0,5,7350,0,1,0,0,0,0,none
0.01,42943,1433.0,120,4800,0,0,0,0,1,0,none
0.0,36971,648.0,1,58,0,0,0,0,1,0,portScan
0.23,61739,443.0,15,1230,0,1,1,0,0,0,none
0.0,0,8.0,1,42,0,0,0,0,0,0,portScan
0.0,54235,2221.0,5,200,0,0,0,0,1,0,synFlood
0.0,56586,51245.0,5,260,0,0,0,0,1,0,none
0.004,41258,80.0,5,479,0,1,1,0,1,1,dos
0.0,54235,1645.0,5,200,0,0,0,0,1,0,synFlood
0.0,53896,9002.0,5,200,0,0,0,0,1,0,synFlood
1.13,80,16108.0,10,440,0,1,0,0,1,0,redWorm
0.11,25119,443.0,15,2915,0,1,1,0,0,0,none
0.0,53896,7990.0,5,200,0,0,0,0,1,0,synFlood
0.004,55590,80.0,6,545,0,1,1,0,1,1,dos
0.004,51805,80.0,5,479,0,1,1,0,1,1,dos
48.2,80,44711.0,10,440,0,1,0,0,1,0,redWorm
0.0,8082,38148.0,1,54,0,1,0,1,0,0,portScan
0.0,80,7278.0,5,220,0,1,0,0,1,0,redWorm
14.0,80,1240.0,15,660,0,1,0,0,1,0,redWorm
0.0,54235,194.0,5,200,0,0,0,0,1,0,synFlood
61.39,443,62600.0,15,815,0,1,1,0,0,0,none
0.006,52579,80.0,5,479,0,1,1,0,1,1,dos
0.0,53896,8245.0,5,200,0,0,0,0,1,0,synFlood
0.0,1914,40166.0,1,54,0,1,0,1,0,0,portScan
0.0,58175,722.0,1,58,0,0,0,0,1,0,portScan
0.0,58175,85.0,1,58,0,0,0,0,1,0,portScan
0.0,4000,36919.0,1,54,0,1,0,1,0,0,portScan
0.0,53896,8009.0,5,200,0,0,0,0,1,0,synFlood
0.0,54235,4244.0,5,200,0,0,0,0,1,0,synFlood
0.0,49209,18988.0,1,58,0,0,0,0,1,0,portScan
0.0,60387,1154.0,1,58,0,0,0,0,1,0,portScan
0.0,39937,53.0,2,174,0,0,0,0,0,0,none
0.0,80,45280.0,5,220,0,1,0,0,1,0,redWorm
0.0,56122,5060.0,5,2075,0,0,0,0,0,0,none
0.0,53896,5353.0,5,200,0,0,0,0,1,0,synFlood
14.36,80,19269.0,15,660,0,1,0,0,1,0,redWorm
0.0,80,31858.0,5,220,0,1,0,0,1,0,redWorm
0.0,82,40166.0,1,54,0,1,0,1,0,0,portScan
